,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature
107,1990-12-01,33.5,16.0,201.1,86.0,5.5,26.3,24.47231182795699
108,1991-01-01,36.2,13.0,123.9,84.1,5.6,26.7,24.58454301075269
109,1991-02-01,17.9,7.0,45.5,81.6,7.0,27.1,24.620386904761908
110,1991-03-01,48.6,10.0,92.4,79.9,7.1,27.8,25.046370967741936
111,1991-04-01,32.2,13.0,134.2,84.3,5.8,27.7,25.61513888888889
112,1991-05-01,44.0,23.0,256.4,86.6,5.1,27.7,25.91021505376344
113,1991-06-01,55.6,9.0,88.7,81.0,7.1,28.6,25.97041666666667
114,1991-07-01,10.7,8.0,37.3,78.7,6.7,28.5,25.533736559139783
115,1991-08-01,129.9,8.0,226.2,79.8,5.3,28.2,25.4
116,1991-09-01,53.6,12.0,123.1,83.0,4.1,27.5,25.269305555555558
117,1991-10-01,20.4,5.0,52.0,81.4,4.2,27.5,24.985483870967744
118,1991-11-01,75.2,19.0,205.0,86.5,3.5,26.3,24.49291666666667
119,1991-12-01,79.4,19.0,492.3,90.7,3.0,25.6,24.43938172043011
120,1992-01-01,56.2,9.0,83.9,82.4,6.6,26.6,24.29274193548387
121,1992-02-01,43.2,4.0,62.4,80.5,7.7,27.5,24.784913793103446
122,1992-03-01,35.1,6.0,67.6,80.6,7.4,28.2,25.50577956989247
123,1992-04-01,94.7,13.0,160.3,82.4,6.4,28.4,25.965
124,1992-05-01,13.7,13.0,63.1,83.3,5.7,28.1,25.8505376344086
125,1992-06-01,38.4,14.0,162.8,82.7,5.5,28.0,25.671666666666663
126,1992-07-01,97.3,19.0,290.8,83.8,4.7,27.3,25.1630376344086
127,1992-08-01,31.0,11.0,76.1,81.1,5.7,27.8,25.18978494623656
128,1992-09-01,17.5,13.0,83.6,82.9,5.0,27.3,25.035694444444445
129,1992-10-01,45.5,20.0,233.2,82.0,4.5,27.4,24.988306451612903
130,1992-11-01,120.6,18.0,474.3,87.7,3.7,26.1,24.479999999999997
